	0	anhsontran	
	0	battalgazi	
	0	Epoxi117	
	0	Hagensbarn	
	0	hiro	
	0	ibrahimovic	
	0	iceqween000	
	0	ikben1970	
	0	johngb	
	0	ksolina	
	0	LibertytoDream	
	0	Nafas	
	0	saluyot	
	0	Sirimiri1	
	0	tjitske	
	0	Wermesondavid	
	0	ysnbibi	
abk	5	Boto	
abk	5	Camila_mir0	
abk	5	drGDRG	
abk	5	inightntron	
abk	5	itlutimon	
abk	5	JoshBettner	
abk	5	julimachineand	
abk	5	kanyewestmerch	
abk	5	lemmybossa	
abk	5	mojamoja	
abk	5	Polygot99	Thirtieth language. Opted to learn this language after reading about Abkhazia, another wartorn location.
abk	5	richardsgovan	
abk	5	sgthelenmarkm	
abk	5	skskwj	
abk	5	Telepinu96	
abk	4	charmaine7358	English,Singapore
abk	4	rssinumahi	India
abk	3	Adazul77	Italian is the next closest language to Spanish after Portuguese, so I've acquired some fluency in it as well. 
abk	3	ha_sa	
abk	3	mjbg	
abk	3	Richel	Sugboanong Binisaya
abk	2	1998	
abk	2	abdu	
abk	2	FC_Barcelona	
abk	2	kavi	india
abk	2	kriz1994	YOU DISAGREE WITH THESE STEPS DANCING SO GIVE IDEAS
abk	2	kuraujo	japones・日本語
abk	2	Morroncho	
abk	2	Musarrat	
abk	2	nonaka	
abk	2	PasqualeFusillo83	
abk	2	ramesh	
abk	1	842452	gft
abk	1	Ana180723	Italia
abk	1	athira	
abk	1	Ayalche	
abk	1	Ballaneandrea	Dutch
abk	1	dhuunte	
abk	1	ebisst	
abk	1	Gracerose	
abk	1	Luciosp	
abk	1	NartTlisha	
abk	1	Onedetay	
abk	1	QAzaqQA	
abk	1	Rene96	USA
abk	1	rfo55oliveira	JAPONES
abk	1	sallomao185	
abk	1	Silvanomendes	
abk	1	zaqzaq	
abk	0	baranabadparpa	Reduced Adjective clauses & so/such...that enough/too
abk	0	DetErMinNavn	
abk	0	emilianolara	
abk	0	janTuki	
abk	0	madeinchloe	
abk	\N	ekrajczar	
abk	\N	GabrielaP	
abk	\N	gauravjiiii	
abk	\N	Jon53d	
abk	\N	kanlaon	
abk	\N	kelevgadol	
abk	\N	Montoya	English 
abk	\N	Naunie	
abk	\N	patforkin	
abk	\N	qudratullah	
abk	\N	sblylmz	
abk	\N	tariquehussaingopa	
abk	\N	wojtek56	angielski
abk	\N	yak	curious about sound - interested in audio
abq	1	QAzaqQA	
